trainGaId;populationNr;iterations;score
trainGa05fitFac03b;w001;447;111681.941
trainGa05fitFac03b;w001;448;94912.870
trainGa05fitFac03b;w001;449;114166.492
trainGa05fitFac03b;w001;450;109792.266
trainGa05fitFac03b;w001;451;94396.070
trainGa05fitFac03b;w001;452;98074.412
trainGa05fitFac03b;w001;453;99746.419
trainGa05fitFac03b;w001;454;93149.439
trainGa05fitFac03b;w001;455;97974.836
trainGa05fitFac03b;w001;456;89963.453
trainGa05fitFac03b;w001;457;97249.398
trainGa05fitFac03b;w001;458;96127.555
trainGa05fitFac03b;w001;459;89785.886
trainGa05fitFac03b;w001;460;85865.425
trainGa05fitFac03b;w001;461;84871.860
trainGa05fitFac03b;w001;462;84568.866
trainGa05fitFac03b;w001;463;89753.572
trainGa05fitFac03b;w001;464;78189.513
trainGa05fitFac03b;w001;465;83665.703
trainGa05fitFac03b;w001;466;93568.208
trainGa05fitFac03b;w001;467;97317.853
trainGa05fitFac03b;w001;468;92079.744
trainGa05fitFac03b;w001;469;86281.987
trainGa05fitFac03b;w001;470;80973.865
trainGa05fitFac03b;w001;471;81945.843
trainGa05fitFac03b;w001;472;79939.832
trainGa05fitFac03b;w001;473;78703.571
trainGa05fitFac03b;w001;474;83138.557
trainGa05fitFac03b;w001;475;88180.200
trainGa05fitFac03b;w001;476;86576.672
trainGa05fitFac03b;w001;477;90089.255
trainGa05fitFac03b;w001;478;101019.193
trainGa05fitFac03b;w001;479;90920.308
trainGa05fitFac03b;w001;480;91826.425
trainGa05fitFac03b;w001;481;98732.355
trainGa05fitFac03b;w001;482;87138.520
trainGa05fitFac03b;w001;483;94949.317
trainGa05fitFac03b;w001;484;88186.935
trainGa05fitFac03b;w001;485;92179.833
trainGa05fitFac03b;w001;486;93992.956
trainGa05fitFac03b;w001;487;94981.839
trainGa05fitFac03b;w001;488;88297.898
trainGa05fitFac03b;w001;489;81704.670
trainGa05fitFac03b;w001;490;94164.189
trainGa05fitFac03b;w001;491;91438.731
trainGa05fitFac03b;w001;492;103682.742
trainGa05fitFac03b;w001;493;98400.361
trainGa05fitFac03b;w001;494;109166.645
trainGa05fitFac03b;w001;495;98806.984
trainGa05fitFac03b;w001;496;105021.279
trainGa05fitFac03b;w001;497;108688.599
trainGa05fitFac03b;w001;498;103257.486
trainGa05fitFac03b;w001;499;98704.487
trainGa05fitFac03b;w001;500;110853.792
trainGa05fitFac03b;w001;501;95256.212
trainGa05fitFac03b;w001;502;116382.422
trainGa05fitFac03b;w001;503;103465.473
trainGa05fitFac03b;w001;504;100440.661
trainGa05fitFac03b;w001;505;97013.187
trainGa05fitFac03b;w001;506;106185.056
trainGa05fitFac03b;w001;507;105949.686
trainGa05fitFac03b;w001;508;104374.739
trainGa05fitFac03b;w001;509;99209.883
trainGa05fitFac03b;w001;510;100677.726
trainGa05fitFac03b;w001;511;95299.886
trainGa05fitFac03b;w001;512;91523.355
trainGa05fitFac03b;w001;513;95696.161
trainGa05fitFac03b;w001;514;99969.332
trainGa05fitFac03b;w001;515;95787.482
trainGa05fitFac03b;w001;516;100772.066
trainGa05fitFac03b;w001;517;113067.648
trainGa05fitFac03b;w001;518;119156.544
trainGa05fitFac03b;w001;519;115976.711
trainGa05fitFac03b;w001;520;117013.002
trainGa05fitFac03b;w001;521;108373.614
trainGa05fitFac03b;w001;522;133431.200
trainGa05fitFac03b;w001;523;125008.584
trainGa05fitFac03b;w001;524;128313.164
trainGa05fitFac03b;w001;525;128001.797
trainGa05fitFac03b;w001;526;136693.152
trainGa05fitFac03b;w001;527;139708.696
trainGa05fitFac03b;w001;528;124695.695
trainGa05fitFac03b;w001;529;121977.317
trainGa05fitFac03b;w001;530;110663.015
trainGa05fitFac03b;w001;531;130177.547
trainGa05fitFac03b;w001;532;135787.079
trainGa05fitFac03b;w001;533;140668.130
trainGa05fitFac03b;w001;534;111518.237
trainGa05fitFac03b;w001;535;127847.443
trainGa05fitFac03b;w001;536;126437.275
trainGa05fitFac03b;w001;537;125469.077
trainGa05fitFac03b;w001;538;121105.291
trainGa05fitFac03b;w001;539;112932.166
trainGa05fitFac03b;w001;540;127697.535
trainGa05fitFac03b;w001;541;117229.070
trainGa05fitFac03b;w001;542;112180.717
trainGa05fitFac03b;w001;543;127358.174
trainGa05fitFac03b;w001;544;114689.340
trainGa05fitFac03b;w001;545;94699.724
trainGa05fitFac03b;w001;546;113246.122
trainGa05fitFac03b;w001;547;100959.438
trainGa05fitFac03b;w001;548;115282.913
trainGa05fitFac03b;w001;549;120684.299
trainGa05fitFac03b;w001;550;111644.696
trainGa05fitFac03b;w001;551;138817.318
trainGa05fitFac03b;w001;552;122493.971
trainGa05fitFac03b;w001;553;119675.445
trainGa05fitFac03b;w001;554;134340.632
trainGa05fitFac03b;w001;555;124037.322
trainGa05fitFac03b;w001;556;121740.528
trainGa05fitFac03b;w001;557;101637.553
trainGa05fitFac03b;w001;558;119038.949
trainGa05fitFac03b;w001;559;118827.508
trainGa05fitFac03b;w001;560;111135.035
trainGa05fitFac03b;w001;561;115475.144
trainGa05fitFac03b;w001;562;113658.581
trainGa05fitFac03b;w001;563;104433.870
trainGa05fitFac03b;w001;564;109985.855
trainGa05fitFac03b;w001;565;101466.912
trainGa05fitFac03b;w001;566;102318.812
trainGa05fitFac03b;w001;567;109959.577
trainGa05fitFac03b;w001;568;97882.582
trainGa05fitFac03b;w001;569;103082.871
trainGa05fitFac03b;w001;570;100825.510
trainGa05fitFac03b;w001;571;99182.725
trainGa05fitFac03b;w001;572;90313.843
trainGa05fitFac03b;w001;573;103194.289
trainGa05fitFac03b;w001;574;94784.483
trainGa05fitFac03b;w001;575;89170.364
trainGa05fitFac03b;w001;576;106572.272
trainGa05fitFac03b;w001;577;99648.921
trainGa05fitFac03b;w001;578;98060.310
trainGa05fitFac03b;w001;579;92969.615
trainGa05fitFac03b;w001;580;93684.857
trainGa05fitFac03b;w001;581;98404.550
trainGa05fitFac03b;w001;582;106320.134
trainGa05fitFac03b;w001;583;111007.178
trainGa05fitFac03b;w001;584;98199.662
trainGa05fitFac03b;w001;585;102734.400
trainGa05fitFac03b;w001;586;106409.810
trainGa05fitFac03b;w001;587;100648.294
trainGa05fitFac03b;w001;588;96379.410
trainGa05fitFac03b;w001;589;114289.895
trainGa05fitFac03b;w001;590;108642.430
trainGa05fitFac03b;w001;591;94158.985
trainGa05fitFac03b;w001;592;86983.080
trainGa05fitFac03b;w001;593;101835.806
trainGa05fitFac03b;w001;594;114028.025
trainGa05fitFac03b;w001;595;99972.315
trainGa05fitFac03b;w001;596;97679.268
trainGa05fitFac03b;w001;597;95014.144
trainGa05fitFac03b;w001;598;99976.603
trainGa05fitFac03b;w001;599;106623.067
trainGa05fitFac03b;w001;600;116211.758
trainGa05fitFac03b;w001;601;122222.486
trainGa05fitFac03b;w001;602;110390.719
trainGa05fitFac03b;w001;603;104620.010
trainGa05fitFac03b;w001;604;103879.777
trainGa05fitFac03b;w001;605;110133.012
trainGa05fitFac03b;w001;606;109701.421
trainGa05fitFac03b;w001;607;107495.565
trainGa05fitFac03b;w001;608;111535.280
trainGa05fitFac03b;w001;609;105622.067
trainGa05fitFac03b;w001;610;110803.281
trainGa05fitFac03b;w001;611;109293.610
trainGa05fitFac03b;w001;612;120317.021
trainGa05fitFac03b;w001;613;127169.042
trainGa05fitFac03b;w001;614;123467.822
trainGa05fitFac03b;w001;615;126739.364
trainGa05fitFac03b;w001;616;144104.245
trainGa05fitFac03b;w001;617;134810.310
trainGa05fitFac03b;w001;618;134960.253
trainGa05fitFac03b;w001;619;117642.539
trainGa05fitFac03b;w001;620;123731.973
trainGa05fitFac03b;w001;621;120276.175
trainGa05fitFac03b;w001;622;123314.450
trainGa05fitFac03b;w001;623;108760.409
trainGa05fitFac03b;w001;624;137858.838
trainGa05fitFac03b;w001;625;118204.197
trainGa05fitFac03b;w001;626;114089.778
trainGa05fitFac03b;w001;627;133749.230
trainGa05fitFac03b;w001;628;125357.588
trainGa05fitFac03b;w001;629;118035.199
trainGa05fitFac03b;w001;630;120856.323
trainGa05fitFac03b;w001;631;117906.809
trainGa05fitFac03b;w001;632;134786.214
trainGa05fitFac03b;w001;633;126124.844
